Wavelength,Flux
3241.681,3.906865089e-16
3243.179302,2.509066967e-16
3244.677604,1.111268978e-16
3246.175906,3.135573563e-16
3247.674208,5.159879605e-16
3249.17251,8.7253433e-17
3250.670812,-3.414816503e-16
3252.169114,-1.165535335e-16
3253.667416,1.083754701e-16
3255.165718,1.977850255e-16
3256.66402,2.871943558e-16
3258.162322,2.025206278e-16
3259.660624,1.17846516e-16
3261.158926,6.261777089e-17
3262.657228,7.389109286e-18
3264.15553,-1.500500073e-16
3265.653832,-3.074894505e-16
3267.152134,2.124266484e-17
3268.650436,3.499765173e-16
3270.148738,4.377277012e-16
3271.64704,5.254778529e-16
3273.145342,4.25456232e-16
3274.643644,3.254337641e-16
3276.141946,3.233147259e-16
3277.640248,3.211961641e-16
3279.13855,4.459395533e-16
3280.636852,5.706836307e-16
3282.135154,3.174687957e-16
3283.633456,6.425177024e-17
3285.131758,6.158403336e-17
3286.63006,5.891788466e-17
3288.128362,3.268519884e-16
3289.626664,5.947879649e-16
3291.124966,4.871103838e-16
3292.623268,3.794300763e-16
3294.12157,2.346373114e-16
3295.619872,8.984423547e-17
3297.118174,-1.168606524e-17
3298.616476,-1.132160119e-16
3300.114778,2.162690678e-17
3301.61308,1.564718537e-16
3303.111382,2.425709132e-16
3304.609684,3.286695358e-16
3306.107986,3.569096408e-16
3307.606288,3.851491634e-16
3309.10459,3.508329999e-16
3310.602892,3.165162012e-16
3312.101194,1.954081716e-16
3313.599496,7.429923536e-17
3315.097798,1.727063122e-16
3316.5961,2.711157647e-16
3318.094402,1.531687561e-16
3319.592704,3.521930569e-17
3321.091006,2.352487633e-16
3322.589308,4.35281973e-16
3324.08761,4.655934706e-16
3325.585912,4.959029034e-16
3327.084214,4.746609053e-16
3328.582516,4.534182719e-16
3330.080818,3.624433864e-16
3331.57912,2.71467601e-16
3333.077422,3.256885622e-16
3334.575724,3.799114557e-16
3336.074026,4.307143214e-16
3337.572328,4.815171076e-16
3339.07063,3.356385259e-16
3340.568932,1.897570854e-16
3342.067234,2.36429739e-16
3343.565536,2.831052513e-16
3345.063838,2.543513944e-16
3346.56214,2.255963994e-16
3348.060442,2.507339814e-16
3349.558744,2.758724105e-16
3351.057046,2.031744314e-16
3352.555348,1.304748773e-16
3354.05365,1.903254842e-16
3355.551952,2.501783013e-16
3357.050254,2.845979881e-16
3358.548556,3.190172513e-16
3360.046858,2.957577266e-16
3361.54516,2.724971695e-16
3363.043462,2.491296216e-16
3364.541764,2.257620737e-16
3366.040066,2.16283603e-16
3367.538368,2.068053837e-16
3369.03667,3.337555187e-16
3370.534972,4.60708208e-16
3372.033274,3.659194244e-16
3373.531576,2.711263261e-16
3375.029878,3.198647342e-16
3376.52818,3.686060011e-16
3378.026482,3.884521683e-16
3379.524784,4.082977797e-16
3381.023086,3.839981779e-16
3382.521388,3.596976762e-16
3384.01969,3.806895084e-16
3385.517992,4.016822936e-16
3387.016294,4.900345004e-16
3388.514596,5.783881365e-16
3390.012898,5.060710046e-16
3391.5112,4.337503786e-16
3393.009502,4.69727309e-16
3394.507804,5.057066216e-16
3396.006106,4.61358147e-16
3397.504408,4.170078725e-16
3399.00271,4.640290007e-16
3400.501012,5.110522465e-16
3401.999314,4.767748878e-16
3403.497616,4.424956232e-16
3404.995918,5.392218095e-16
3406.49422,6.359511192e-16
3407.992522,6.83906366e-16
3409.490824,7.318603422e-16
3410.989126,6.147190208e-16
3412.487428,4.975735171e-16
3413.98573,5.060814337e-16
3415.484032,5.145925795e-16
3416.982334,6.432637664e-16
3418.480636,7.719380237e-16
3419.978938,7.538250182e-16
3421.47724,7.357080952e-16
3422.975542,7.214002264e-16
3424.473844,7.070924635e-16
3425.972146,6.864687465e-16
3427.470448,6.658448707e-16
3428.96875,6.873501372e-16
3430.467052,7.088565684e-16
3431.965354,7.140650799e-16
3433.463656,7.192731679e-16
3434.961958,6.640378847e-16
3436.46026,6.088008545e-16
3437.958562,5.584262699e-16
3439.456864,5.08051897e-16
3440.955166,5.126017345e-16
3442.453468,5.171532131e-16
3443.95177,5.299542632e-16
3445.450072,5.42755631e-16
3446.948374,5.828909107e-16
3448.446676,6.230270375e-16
3449.944978,6.079654682e-16
3451.44328,5.929022049e-16
3452.941582,6.430200326e-16
3454.439884,6.931399251e-16
3455.938186,7.043663409e-16
3457.436488,7.155914862e-16
3458.93479,6.582406853e-16
3460.433092,6.008876609e-16
3461.931394,6.915693671e-16
3463.429696,7.822559438e-16
3464.927998,7.659236133e-16
3466.4263,7.49587683e-16
3467.924602,7.127454026e-16
3469.422904,6.75902434e-16
3470.921206,6.157426601e-16
3472.419508,5.555820921e-16
3473.91781,5.748787202e-16
3475.416112,5.941781012e-16
3476.914414,5.980453889e-16
3478.412716,6.019121473e-16
3479.911018,5.637601422e-16
3481.40932,5.256066548e-16
3482.907622,6.032587709e-16
3484.405924,6.809150162e-16
3485.904226,6.097733013e-16
3487.402528,5.386261336e-16
3488.90083,5.51146604e-16
3490.399132,5.636701979e-16
3491.897434,5.901171076e-16
3493.395736,6.165644938e-16
3494.894038,6.011847577e-16
3496.39234,5.858034335e-16
3497.890642,5.937634786e-16
3499.388944,6.017243707e-16
3500.887246,6.012472794e-16
3502.385548,6.007698704e-16
3503.88385,5.949934763e-16
3505.382152,5.892169234e-16
3506.880454,5.739555072e-16
3508.378756,5.586937735e-16
3509.877058,5.327919295e-16
3511.37536,5.068896619e-16
3512.873662,5.237996159e-16
3514.371964,5.407113169e-16
3515.870266,5.278692387e-16
3517.368568,5.150258898e-16
3518.86687,5.266372822e-16
3520.365172,5.382496804e-16
3521.863474,4.977178833e-16
3523.361776,4.571839157e-16
3524.860078,5.111601373e-16
3526.35838,5.651403295e-16
