Wavelength,Flux
3169.997,7.238075258e-15
3171.50346,5.637477332e-15
3173.00992,4.036879406e-15
3174.51638,4.782394183e-15
3176.02284,5.527909809e-15
3177.5293,3.623701393e-15
3179.03576,1.719489906e-15
3180.54222,2.994932477e-16
3182.04868,-1.120502722e-15
3183.55514,4.170279895e-15
3185.0616,9.461075959e-15
3186.56806,6.845311163e-15
3188.07452,4.229526038e-15
3189.58098,2.735745107e-15
3191.08744,1.241967671e-15
3192.5939,1.008756418e-15
3194.10036,7.755497722e-16
3195.60682,2.149426995e-15
3197.11328,3.523310624e-15
3198.61974,6.364484863e-15
3200.1262,9.205665879e-15
3201.63266,7.58396455e-15
3203.13912,5.962241199e-15
3204.64558,5.699038839e-15
3206.15204,5.435844103e-15
3207.6585,6.913228382e-15
3209.16496,8.390623672e-15
3210.67142,6.43012907e-15
3212.17788,4.469612021e-15
3213.68434,5.691932233e-15
3215.1908,6.914275315e-15
3216.69726,6.470632915e-15
3218.20372,6.026977386e-15
3219.71018,5.308391056e-15
3221.21664,4.589802608e-15
3222.7231,6.678613385e-15
3224.22956,8.767448302e-15
3225.73602,7.560990476e-15
3227.24248,6.354502157e-15
3228.74894,6.898900396e-15
3230.2554,7.443315577e-15
3231.76186,7.896856827e-15
3233.26832,8.350396383e-15
3234.77478,8.245166939e-15
3236.28124,8.139930719e-15
3237.7877,8.851995742e-15
3239.29416,9.564070083e-15
3240.80062,9.696945836e-15
3242.30708,9.829813965e-15
3243.81354,8.652648232e-15
3245.32,7.475466406e-15
3246.82646,9.000321376e-15
3248.33292,1.052521107e-14
3249.83938,9.375650145e-15
3251.34584,8.226054488e-15
3252.8523,9.364253317e-15
3254.35876,1.050248264e-14
3255.86522,1.07243841e-14
3257.37168,1.094627285e-14
3258.87814,1.073064536e-14
3260.3846,1.05150111e-14
3261.89106,1.070245018e-14
3263.39752,1.088989518e-14
3264.90398,1.062778592e-14
3266.41044,1.036566988e-14
3267.9169,1.013273243e-14
3269.42336,9.899795827e-15
3270.92982,1.11942248e-14
3272.43628,1.248868003e-14
3273.94274,1.121484836e-14
3275.4492,9.940971792e-15
3276.95566,9.647656988e-15
3278.46212,9.354359125e-15
3279.96858,1.026378028e-14
3281.47504,1.117322347e-14
3282.9815,1.106598401e-14
3284.48796,1.095872508e-14
3285.99442,1.098358549e-14
3287.50088,1.100844845e-14
3289.00734,1.207945809e-14
3290.5138,1.31504889e-14
3292.02026,1.32869476e-14
3293.52672,1.342338682e-14
3295.03318,1.241587501e-14
3296.53964,1.140833948e-14
3298.0461,1.28897171e-14
3299.55256,1.437114723e-14
3301.05902,1.460654785e-14
3302.56548,1.484192137e-14
3304.07194,1.394457381e-14
3305.5784,1.30472017e-14
3307.08486,1.324302301e-14
3308.59132,1.343886973e-14
3310.09778,1.277914542e-14
3311.60424,1.211940077e-14
3313.1107,1.343350802e-14
3314.61716,1.474766354e-14
3316.12362,1.474252205e-14
3317.63008,1.473734837e-14
3319.13654,1.45826107e-14
3320.643,1.442787133e-14
3322.14946,1.426397215e-14
3323.65592,1.410007297e-14
3325.16238,1.45843522e-14
3326.66884,1.506865006e-14
3328.1753,1.583509291e-14
3329.68176,1.660154253e-14
3331.18822,1.594665901e-14
3332.69468,1.529173652e-14
3334.20114,1.560248241e-14
3335.7076,1.591325372e-14
3337.21406,1.589789024e-14
3338.72052,1.588251828e-14
3340.22698,1.623628837e-14
3341.73344,1.659006862e-14
3343.2399,1.657804753e-14
3344.74636,1.656601627e-14
3346.25282,1.638092433e-14
3347.75928,1.619582561e-14
3349.26574,1.577963258e-14
3350.7722,1.536343278e-14
3352.27866,1.5631949e-14
3353.78512,1.590048555e-14
3355.29158,1.581250762e-14
3356.79804,1.572451784e-14
3358.3045,1.700422877e-14
3359.81096,1.828398205e-14
3361.31742,1.80197857e-14
3362.82388,1.775554022e-14
3364.33034,1.794451665e-14
3365.8368,1.813350834e-14
3367.34326,1.737061965e-14
3368.84972,1.660769876e-14
3370.35618,1.752913847e-14
3371.86264,1.845063578e-14
3373.3691,1.794549921e-14
3374.87556,1.744031521e-14
3376.38202,1.763837692e-14
3377.88848,1.783646236e-14
3379.39494,1.783032306e-14
3380.9014,1.78241753e-14
3382.40786,1.784097535e-14
3383.91432,1.785777709e-14
3385.42078,1.790800953e-14
3386.92724,1.795824198e-14
3388.4337,1.834262383e-14
3389.94016,1.872701755e-14
3391.44662,1.848098836e-14
3392.95308,1.823493715e-14
3394.45954,1.860674904e-14
3395.966,1.897858464e-14
3397.47246,1.908124334e-14
3398.97892,1.918389187e-14
3400.48538,1.914777778e-14
3401.99184,1.911166029e-14
3403.4983,1.917659892e-14
3405.00476,1.924154094e-14
3406.51122,1.902975221e-14
3408.01768,1.881795331e-14
3409.52414,1.927247458e-14
3411.0306,1.972702126e-14
3412.53706,1.9396138e-14
3414.04352,1.906522256e-14
3415.54998,1.917664297e-14
3417.05644,1.92880837e-14
3418.5629,1.920562674e-14
3420.06936,1.9123163e-14
3421.57582,1.871442895e-14
3423.08228,1.830568303e-14
3424.58874,1.82399753e-14
3426.0952,1.817428281e-14
3427.60166,1.851841705e-14
3429.10812,1.886256993e-14
3430.61458,1.917909428e-14
3432.12104,1.949561694e-14
3433.6275,1.911516701e-14
3435.13396,1.873468659e-14
3436.64042,1.96432226e-14
3438.14688,2.05518162e-14
3439.65334,2.062041401e-14
3441.1598,2.068897286e-14
3442.66626,2.027634584e-14
3444.17272,1.986369511e-14
3445.67918,1.986123532e-14
3447.18564,1.985879417e-14
3448.6921,2.003980173e-14
3450.19856,2.022081775e-14
3451.70502,2.017996027e-14
3453.21148,2.013909093e-14
3454.71794,1.990629917e-14
3456.2244,1.967349725e-14
3457.73086,1.928108721e-14
3459.23732,1.888866871e-14
3460.74378,1.897179652e-14
3462.25024,1.905494805e-14
3463.7567,1.836218013e-14
3465.26316,1.766937494e-14
3466.76962,1.844576534e-14
3468.27608,1.922222859e-14
3469.78254,1.923707707e-14
3471.289,1.92518849e-14
3472.79546,1.915697994e-14
3474.30192,1.906206821e-14
3475.80838,1.960368818e-14
3477.31484,2.014534203e-14
3478.8213,1.933377266e-14
3480.32776,1.852213383e-14
3481.83422,1.855669278e-14
3483.34068,1.859129407e-14
3484.84714,1.875542873e-14
3486.3536,1.891957016e-14
3487.86006,1.947139519e-14
3489.36652,2.002324054e-14
3490.87298,1.951887477e-14
3492.37944,1.90144531e-14
3493.8859,1.865468263e-14
3495.39236,1.829492063e-14
3496.89882,1.848267565e-14
3498.40528,1.867046116e-14
3499.91174,1.837508722e-14
3501.4182,1.807968617e-14
3502.92466,1.839924799e-14
3504.43112,1.871884538e-14
3505.93758,1.880252207e-14
3507.44404,1.88861852e-14
3508.9505,1.848995166e-14
3510.45696,1.809369101e-14
3511.96342,1.798320573e-14
3513.46988,1.787273739e-14
3514.97634,1.836673547e-14
3516.4828,1.886076913e-14
3517.98926,1.884403176e-14
3519.49572,1.88272639e-14
3521.00218,1.867293619e-14
3522.50864,1.85186017e-14
3524.0151,1.871720044e-14
3525.52156,1.891582119e-14
3527.02802,1.865585492e-14
3528.53448,1.839585985e-14
3530.04094,1.861423172e-14
3531.5474,1.88326307e-14
3533.05386,1.877580834e-14
3534.56032,1.871896904e-14
3536.06678,1.864045586e-14
3537.57324,1.85619393e-14
3539.0797,1.860169564e-14
3540.58616,1.864145875e-14
3542.09262,1.865841296e-14
3543.59908,1.867536717e-14
3545.10554,1.865505363e-14
3546.612,1.863473839e-14
3548.11846,1.858750106e-14
3549.62492,1.854026203e-14
3551.13138,1.834546986e-14
3552.63784,1.815066923e-14
3554.1443,1.82648391e-14
3555.65076,1.837902931e-14
3557.15722,1.771223989e-14
3558.66368,1.704539965e-14
3560.17014,1.686078713e-14
3561.6766,1.667620509e-14
3563.18306,1.684317054e-14
3564.68952,1.701015969e-14
3566.19598,1.704902326e-14
3567.70244,1.708787835e-14
3569.2089,1.747388821e-14
3570.71536,1.785992178e-14
3572.22182,1.775647873e-14
3573.72828,1.76530001e-14
3575.23474,1.731868636e-14
3576.7412,1.698435737e-14
3578.24766,1.703110851e-14
3579.75412,1.707788506e-14
3581.26058,1.716677439e-14
3582.76704,1.725566711e-14
3584.2735,1.709216603e-14
3585.77996,1.692864463e-14
3587.28642,1.689643197e-14
3588.79288,1.686422947e-14
3590.29934,1.681258756e-14
3591.8058,1.676094396e-14
3593.31226,1.685829685e-14
3594.81872,1.695566159e-14
3596.32518,1.675404234e-14
3597.83164,1.655240276e-14
3599.3381,1.666143115e-14
3600.84456,1.677048325e-14
3602.35102,1.663268793e-14
3603.85748,1.649487398e-14
3605.36394,1.663545095e-14
3606.8704,1.677604826e-14
3608.37686,1.660424456e-14
3609.88332,1.643241885e-14
3611.38978,1.634750549e-14
3612.89624,1.626259721e-14
3614.4027,1.63309731e-14
3615.90916,1.639935915e-14
3617.41562,1.639256087e-14
3618.92208,1.63857558e-14
3620.42854,1.641225946e-14
3621.935,1.643876651e-14
3623.44146,1.640921015e-14
3624.94792,1.637965039e-14
3626.45438,1.64296914e-14
3627.96084,1.647973919e-14
3629.4673,1.653038498e-14
3630.97376,1.658102908e-14
3632.48022,1.656299067e-14
3633.98668,1.654494717e-14
3635.49314,1.646788412e-14
3636.9996,1.639081598e-14
3638.50606,1.625872966e-14
3640.01252,1.612663826e-14
3641.51898,1.639542553e-14
3643.02544,1.666424668e-14
3644.5319,1.690616268e-14
3646.03836,1.714807699e-14
3647.54482,1.695194312e-14
3649.05128,1.675577198e-14
3650.55774,1.671179911e-14
3652.0642,1.66678398e-14
3653.57066,1.67929635e-14
3655.07712,1.691810076e-14
3656.58358,1.674982242e-14
3658.09004,1.658151867e-14
3659.5965,1.674418626e-14
3661.10296,1.690688266e-14
3662.60942,1.696604791e-14
3664.11588,1.702520639e-14
3665.62234,1.65332632e-14
3667.1288,1.604127428e-14
3668.63526,1.593859356e-14
3670.14172,1.583594502e-14
3671.64818,1.563687195e-14
3673.15464,1.543779041e-14
3674.6611,1.540573021e-14
3676.16756,1.537368526e-14
3677.67402,1.549378268e-14
3679.18048,1.561389534e-14
3680.68694,1.523027411e-14
3682.1934,1.484660885e-14
3683.69986,1.44438972e-14
3685.20632,1.404118216e-14
3686.71278,1.397249117e-14
3688.21924,1.390382899e-14
3689.7257,1.390126671e-14
3691.23216,1.389871122e-14
3692.73862,1.356660908e-14
3694.24508,1.323447814e-14
3695.75154,1.308356482e-14
3697.258,1.293266845e-14
3698.76446,1.303396427e-14
3700.27092,1.313528296e-14
3701.77738,1.303200085e-14
3703.28384,1.292870094e-14
3704.7903,1.291787925e-14
3706.29676,1.290706518e-14
3707.80322,1.301873038e-14
3709.30968,1.313040659e-14
3710.81614,1.307039431e-14
3712.3226,1.301036678e-14
3713.82906,1.281634456e-14
3715.33552,1.26223088e-14
3716.84198,1.267401508e-14
3718.34844,1.272574423e-14
3719.8549,1.270221534e-14
3721.36136,1.267867969e-14
3722.86782,1.263297718e-14
3724.37428,1.258727297e-14
3725.88074,1.261134565e-14
3727.3872,1.26354251e-14
3728.89366,1.273696064e-14
3730.40012,1.283850379e-14
3731.90658,1.286678707e-14
3733.41304,1.289506357e-14
3734.9195,1.299570887e-14
3736.42596,1.30963601e-14
3737.93242,1.305024848e-14
3739.43888,1.30041216e-14
3740.94534,1.271134551e-14
3742.4518,1.24185457e-14
3743.95826,1.247703333e-14
3745.46472,1.253555484e-14
3746.97118,1.256997148e-14
3748.47764,1.260438643e-14
3749.9841,1.248585941e-14
3751.49056,1.236731715e-14
3752.99702,1.233510195e-14
3754.50348,1.230289437e-14
3756.00994,1.227625095e-14
3757.5164,1.224960837e-14
3759.02286,1.221439298e-14
3760.52932,1.217917758e-14
3762.03578,1.194748866e-14
3763.54224,1.171578026e-14
3765.0487,1.174235507e-14
3766.55516,1.176895614e-14
3768.06162,1.191475761e-14
3769.56808,1.206057095e-14
3771.07454,1.205136116e-14
3772.581,1.204213527e-14
3774.08746,1.194425299e-14
3775.59392,1.184636224e-14
3777.10038,1.193133913e-14
3778.60684,1.20163355e-14
3780.1133,1.203957978e-14
3781.61976,1.206281812e-14
3783.12622,1.206817307e-14
3784.63268,1.207352716e-14
3786.13914,1.223950157e-14
3787.6456,1.240549293e-14
3789.15206,1.236786518e-14
3790.65852,1.233021626e-14
3792.16498,1.209127928e-14
3793.67144,1.185232197e-14
3795.1779,1.184265817e-14
3796.68436,1.183301893e-14
3798.19082,1.198742287e-14
3799.69728,1.21418446e-14
3801.20374,1.210780066e-14
3802.7102,1.207373723e-14
3804.21666,1.222131239e-14
3805.72312,1.236890703e-14
3807.22958,1.252767489e-14
3808.73604,1.268644359e-14
3810.2425,1.284281688e-14
3811.74896,1.299919018e-14
3813.25542,1.275844986e-14
3814.76188,1.251766635e-14
3816.26834,1.268566432e-14
3817.7748,1.285370719e-14
3819.28126,1.289090718e-14
3820.78772,1.292809277e-14
3822.29418,1.284177757e-14
3823.80064,1.275544967e-14
3825.3071,1.286334981e-14
3826.81356,1.297127112e-14
3828.32002,1.321462623e-14
3829.82648,1.345799659e-14
3831.33294,1.366236615e-14
3832.8394,1.386673149e-14
